DEVICE = cuda
Repo root added: /raid/condor/lib/condor/execute/dir_2668659
Loading preprocessed sparsified .pt splits...
Using split directory: /home/moso00002/bcosgnn/bcosgnn/shaique_updates/codes/MNISTsp/data/MNIST/sparsified_pt_splits
Loaded splits. Train: 20000, Val: 5000, Test: 1000
Avg train edges: 66.31
Node features: 4 (pos features added: True)
  Epoch 001/100: tau=0.99 val_loss=2.1496
  Epoch 005/100: tau=0.95 val_loss=1.0910
  Epoch 010/100: tau=0.91 val_loss=0.7434
  Epoch 015/100: tau=0.86 val_loss=0.5887
  Epoch 020/100: tau=0.82 val_loss=0.5078
  Epoch 025/100: tau=0.78 val_loss=0.4635
  Epoch 030/100: tau=0.73 val_loss=0.4655
  Epoch 035/100: tau=0.69 val_loss=0.4218
  Epoch 040/100: tau=0.64 val_loss=0.3881
  Epoch 045/100: tau=0.59 val_loss=0.3764
  Epoch 050/100: tau=0.55 val_loss=0.4177
  Epoch 055/100: tau=0.50 val_loss=0.4469
  Epoch 060/100: tau=0.46 val_loss=0.3999
  Epoch 065/100: tau=0.41 val_loss=0.3706
  Epoch 070/100: tau=0.37 val_loss=0.3547
  Epoch 075/100: tau=0.32 val_loss=0.3440
  Epoch 080/100: tau=0.28 val_loss=0.3948
  Epoch 085/100: tau=0.23 val_loss=0.3713
  Epoch 090/100: tau=0.19 val_loss=0.3538
  Epoch 095/100: tau=0.15 val_loss=0.3607
  Epoch 100/100: tau=0.10 val_loss=0.3484
GSAT (seed=11) | Test Acc 0.9000 | Test F1 0.8999 | Node AUROC 0.8351 | Node F1 0.6734 | Node Jaccard 0.5227 | Train 293.65s
Saved GSAT explanation figure: GSAT_MNIST_Explanations.pdf
Using device: cuda
Loading preprocessed sparsified .pt splits...
Using split directory: /home/moso00002/bcosgnn/bcosgnn/shaique_updates/codes/MNISTsp/data/MNIST/sparsified_pt_splits
Loaded splits. Train: 20000, Val: 5000, Test: 1000
Avg train edges: 66.31
Node features: 4 (pos features added: True)
Starting BCos GIN training...
Config -> epochs=100, batch_size=64, hidden=64, layers=4, use_scheduler=False, lr=0.005, early_stopping=True, patience=15
[BCOS] Epoch 001, Train Loss: 2.0943, Val Loss: 2.0962, Val Acc: 0.2142, Val F1: 0.1503, LR: 0.005000
[BCOS] Epoch 002, Train Loss: 2.0140, Val Loss: 2.0347, Val Acc: 0.2410, Val F1: 0.1872, LR: 0.005000
[BCOS] Epoch 003, Train Loss: 2.0085, Val Loss: 1.9286, Val Acc: 0.2854, Val F1: 0.1998, LR: 0.005000
[BCOS] Epoch 004, Train Loss: 1.8770, Val Loss: 1.8458, Val Acc: 0.3352, Val F1: 0.2864, LR: 0.005000
[BCOS] Epoch 005, Train Loss: 1.7325, Val Loss: 1.7096, Val Acc: 0.3794, Val F1: 0.3376, LR: 0.005000
[BCOS] Epoch 006, Train Loss: 1.5876, Val Loss: 1.5777, Val Acc: 0.4284, Val F1: 0.3746, LR: 0.005000
[BCOS] Epoch 007, Train Loss: 1.4917, Val Loss: 1.4922, Val Acc: 0.4458, Val F1: 0.4091, LR: 0.005000
[BCOS] Epoch 008, Train Loss: 1.3961, Val Loss: 1.3433, Val Acc: 0.5022, Val F1: 0.4650, LR: 0.005000
[BCOS] Epoch 009, Train Loss: 1.2292, Val Loss: 1.1279, Val Acc: 0.6230, Val F1: 0.6119, LR: 0.005000
[BCOS] Epoch 010, Train Loss: 1.1019, Val Loss: 1.0853, Val Acc: 0.6224, Val F1: 0.6042, LR: 0.005000
[BCOS] Epoch 011, Train Loss: 0.9789, Val Loss: 0.9483, Val Acc: 0.6880, Val F1: 0.6814, LR: 0.005000
[BCOS] Epoch 012, Train Loss: 0.8722, Val Loss: 0.8608, Val Acc: 0.7156, Val F1: 0.7173, LR: 0.005000
[BCOS] Epoch 013, Train Loss: 0.7745, Val Loss: 0.7521, Val Acc: 0.7572, Val F1: 0.7556, LR: 0.005000
[BCOS] Epoch 014, Train Loss: 0.7073, Val Loss: 0.6540, Val Acc: 0.7900, Val F1: 0.7882, LR: 0.005000
[BCOS] Epoch 015, Train Loss: 0.6598, Val Loss: 0.6864, Val Acc: 0.7702, Val F1: 0.7655, LR: 0.005000
[BCOS] Epoch 016, Train Loss: 0.6165, Val Loss: 0.6666, Val Acc: 0.7862, Val F1: 0.7794, LR: 0.005000
[BCOS] Epoch 017, Train Loss: 0.5809, Val Loss: 0.5575, Val Acc: 0.8232, Val F1: 0.8235, LR: 0.005000
